time(s)	Ax(m/s²)	Ay(m/s²)	Az(m/s²)	Rx(°/s)	Ry.(°/s)	Rz(°/s)										
0.001	0.000	0.000	0.000	0.000	0.000	0.000	
0.002	0.000	0.000	0.000	0.000	0.000	0.000	
0.003	0.000	0.000	0.000	0.000	0.000	0.000	
0.004	0.000	0.000	0.000	0.000	0.000	0.000	
0.005	0.000	0.000	0.000	0.000	0.000	0.000	
0.006	0.000	0.000	0.000	0.000	0.000	0.000	
0.007	0.000	0.000	0.000	0.000	0.000	0.000	
0.008	0.000	0.000	0.000	0.000	0.000	0.000	
0.009	0.000	0.000	0.000	0.000	0.000	0.000	
0.010	0.000	0.000	0.000	0.000	0.000	0.000	
0.011	0.000	0.000	0.000	0.000	0.000	0.000	
0.012	0.000	0.000	0.000	0.000	0.000	0.000	
0.013	0.000	0.000	0.000	0.000	0.000	0.000	
0.014	0.000	0.000	0.000	0.000	0.000	0.000	
0.015	0.000	0.000	0.000	0.000	0.000	0.000	
0.016	0.000	0.000	0.000	0.000	0.000	0.000	
0.017	0.000	0.000	0.000	0.000	0.000	0.000	
0.018	0.000	0.000	0.000	0.000	0.000	0.000	
0.019	0.000	0.000	0.000	0.000	0.000	0.000	
0.020	0.000	0.000	0.000	0.000	0.000	0.000	
0.021	0.000	0.000	0.000	0.000	0.000	0.000	
0.022	0.000	0.000	0.000	0.000	0.000	0.000	
0.023	0.000	0.000	0.000	0.000	0.000	0.000	
0.024	0.000	0.000	0.000	0.000	0.000	0.000	
0.025	0.000	0.000	7.616	0.000	0.000	0.000	
0.026	0.000	0.000	7.661	0.000	0.000	0.000	
0.027	0.000	0.000	8.046	0.000	0.000	0.000	
0.028	0.000	0.000	8.407	0.000	0.000	0.000	
0.029	0.000	0.000	8.435	0.000	0.000	0.000	
0.030	0.000	0.000	8.525	0.000	0.000	0.000	
0.031	0.000	0.000	8.610	0.000	0.000	0.000	
0.032	0.000	0.000	8.802	0.000	0.000	0.000	
0.033	0.000	0.000	9.243	0.000	0.000	0.000	
0.034	0.000	0.000	9.243	0.000	0.000	0.000	
0.035	0.000	0.000	9.287	0.000	0.000	0.000	
0.036	0.000	0.000	9.603	0.000	0.000	0.000	
0.037	0.000	0.000	9.674	0.000	0.000	0.000	
0.038	0.000	0.000	9.769	0.000	0.000	0.000	
0.039	0.000	0.000	9.769	0.000	0.000	0.000	
0.040	0.000	0.000	9.769	0.000	0.000	0.000	
0.041	0.000	0.000	9.769	0.000	0.000	0.000	
0.042	0.000	0.000	9.769	0.000	0.000	0.000	
0.043	0.000	0.000	9.769	0.000	0.000	0.000	
0.044	0.000	0.000	9.769	0.000	0.000	0.000	
0.045	0.000	0.000	9.769	0.000	0.059	0.059	
0.046	0.000	0.000	9.769	-0.008	0.059	0.059	
0.047	0.046	0.000	9.769	-0.017	0.127	0.059	
0.048	0.132	0.000	9.769	-0.042	0.407	0.059	
0.049	0.168	0.004	9.769	-0.042	0.526	0.059	
0.050	0.190	0.004	9.769	-0.136	0.526	0.059	
0.051	0.192	0.004	9.770	-0.136	0.526	0.059	
0.052	0.192	0.004	9.770	-0.136	0.526	0.059	
0.053	0.192	0.004	9.915	-0.136	0.949	0.059	
0.054	0.192	0.004	9.915	-0.136	0.949	0.059	
0.055	0.192	0.009	9.915	-0.042	0.949	0.059	
0.056	0.192	0.009	9.915	-0.042	0.949	0.059	
0.057	0.192	0.004	9.915	-0.136	0.949	0.059	
0.058	0.192	0.000	9.915	-0.271	0.814	0.025	
0.059	0.192	0.000	9.770	-0.271	0.814	0.025	
0.060	0.192	0.004	9.770	-0.136	0.814	0.059	
0.061	0.365	0.009	9.770	-0.017	0.949	0.059	
0.062	0.365	0.009	9.674	-0.017	0.949	0.059	
0.063	0.365	0.009	9.603	-0.008	0.949	0.059	
0.064	0.383	0.010	9.674	-0.008	0.949	0.059	
0.065	0.383	0.010	9.603	-0.008	0.949	0.059	
0.066	0.383	0.010	9.603	-0.008	0.949	0.059	
0.067	0.383	0.010	9.603	-0.008	0.949	0.059	
0.068	0.365	0.009	9.603	-0.017	0.949	0.059	
0.069	0.365	0.004	9.603	-0.271	0.949	0.025	
0.070	0.365	0.004	9.603	-0.271	0.949	0.025	
0.071	0.365	0.004	9.603	-0.271	0.949	0.025	
0.072	0.365	0.009	9.603	-0.008	0.949	0.059	
0.073	0.365	0.010	9.603	0.000	0.949	0.059	
0.074	0.383	0.022	9.603	0.000	1.076	0.119	
0.075	0.383	0.022	9.603	0.000	1.076	0.119	
0.076	0.481	0.046	9.867	0.000	1.076	0.127	
0.077	0.481	0.046	9.867	0.000	1.076	0.127	
0.078	0.481	0.046	9.867	0.059	1.076	0.263	
0.079	0.572	0.046	9.867	0.059	1.076	0.263	
0.080	0.572	0.046	9.867	0.059	1.076	0.263	
0.081	0.572	0.046	9.867	0.059	1.076	0.263	
0.082	0.572	0.046	9.867	0.059	0.949	0.263	
0.083	0.572	0.046	9.867	0.059	0.949	0.263	
0.084	0.572	0.022	9.867	0.263	0.949	0.263	
0.085	0.572	0.022	9.867	0.263	0.949	0.263	
0.086	0.572	0.010	9.867	0.263	0.949	0.059	
0.087	0.572	0.010	9.867	0.263	0.949	0.059	
0.088	0.572	0.010	9.867	0.263	0.949	0.059	
0.089	0.572	0.022	9.867	0.263	0.949	0.263	
0.090	0.572	0.022	9.867	0.263	0.949	0.263	
0.091	0.572	0.046	9.867	0.475	1.076	0.263	
0.092	0.572	0.046	9.867	0.475	1.076	0.263	
0.093	0.481	0.022	9.867	0.263	1.076	0.263	
0.094	0.481	0.022	9.867	0.263	0.814	0.059	
0.095	0.481	0.022	9.867	0.263	0.814	0.059	
0.096	0.481	0.022	9.867	0.263	1.076	0.263	
0.097	0.481	0.046	9.963	0.475	1.076	0.263	
0.098	0.481	0.046	9.963	0.475	1.076	0.263	
0.099	0.481	0.094	10.155	0.534	1.110	0.263	
